id,name,email,password,address,age
13,ali,ali@yahoo.com,1234,karachi,28
13,ali,ali@yahoo.com,1234,karachi,28
13,ali,ali@yahoo.com,1234,lahore,28
13,ali,ali@yahoo.com,1234,lahore,28
13,ali,ali@yahoo.com,1234,lahore,28
13,ali,ali@yahoo.com,1234,lahore,28
13,ali,ali@yahoo.com,1234,lahore,28
13,ali,ali@yahoo.com,1234,lahore,28
13,ali,ali@yahoo.com,1234,lahore,28
13,ali,ali@yahoo.com,1234,lahore,28
13,ali,ali@yahoo.com,1234,lahore,28
13,ali,ali@yahoo.com,1234,lahore,28
13,ali,ali@yahoo.com,1234,lahore,28
13,ali,ali@yahoo.com,1234,lahore,28
13,ali,ali@yahoo.com,1234,lahore,28
13,ali,ali@yahoo.com,1234,lahore,28
